Raw file name - analytical LC-FAIMS-MS/MS run	Raw file name - pre-analytical LC-FAIMS-MS run (TIC normalization)	Cohort	Experiment name for MQ and Prosit	Experiment FP_DDA	Bioreplicate FP_DDA	Folder name FP_DDA	Experiment FP_Booster	Bioreplicate FP_Booster	Folder name FP_Booster	Experiment FP_WWA	Bioreplicate FP_WWA	Folder name FP_WWA
04812_300ng_iH_HeLa_30SPD_FMS-45_QC10_R1.raw	Not applicable	HELA	DLBCL_10	04812_300ng_iH_HeLa_30SPD_FMS_45_QC10_R1_raw	1	04812_300ng_iH_HeLa_30SPD_FMS_45_QC10_R1_raw_1	04812_300ng_iH_HeLa_30SPD_FMS_45_QC10_R1_raw	1	04812_300ng_iH_HeLa_30SPD_FMS_45_QC10_R1_raw_1	04812_300ng_iH_HeLa_30SPD_FMS_45_QC10_R1_raw	1	04812_300ng_iH_HeLa_30SPD_FMS_45_QC10_R1_raw_1
04812_300ng_iH_HeLa_30SPD_FMS-45_QC11_R1.raw	Not applicable	HELA	DLBCL_11	04812_300ng_iH_HeLa_30SPD_FMS_45_QC11_R1_raw	2	04812_300ng_iH_HeLa_30SPD_FMS_45_QC11_R1_raw_2	04812_300ng_iH_HeLa_30SPD_FMS_45_QC11_R1_raw	2	04812_300ng_iH_HeLa_30SPD_FMS_45_QC11_R1_raw_2	04812_300ng_iH_HeLa_30SPD_FMS_45_QC11_R1_raw	2	04812_300ng_iH_HeLa_30SPD_FMS_45_QC11_R1_raw_2
04812_300ng_iH_HeLa_30SPD_FMS-45_QC12_R1.raw	Not applicable	HELA	DLBCL_12	04812_300ng_iH_HeLa_30SPD_FMS_45_QC12_R1_raw	3	04812_300ng_iH_HeLa_30SPD_FMS_45_QC12_R1_raw_3	04812_300ng_iH_HeLa_30SPD_FMS_45_QC12_R1_raw	3	04812_300ng_iH_HeLa_30SPD_FMS_45_QC12_R1_raw_3	04812_300ng_iH_HeLa_30SPD_FMS_45_QC12_R1_raw	3	04812_300ng_iH_HeLa_30SPD_FMS_45_QC12_R1_raw_3
04812_300ng_iH_HeLa_30SPD_FMS-45_QC13_R1.raw	Not applicable	HELA	DLBCL_13	04812_300ng_iH_HeLa_30SPD_FMS_45_QC13_R1_raw	4	04812_300ng_iH_HeLa_30SPD_FMS_45_QC13_R1_raw_4	04812_300ng_iH_HeLa_30SPD_FMS_45_QC13_R1_raw	4	04812_300ng_iH_HeLa_30SPD_FMS_45_QC13_R1_raw_4	04812_300ng_iH_HeLa_30SPD_FMS_45_QC13_R1_raw	4	04812_300ng_iH_HeLa_30SPD_FMS_45_QC13_R1_raw_4
04812_300ng_iH_HeLa_30SPD_FMS-45_QC14_R1.raw	Not applicable	HELA	DLBCL_14	04812_300ng_iH_HeLa_30SPD_FMS_45_QC14_R1_raw	5	04812_300ng_iH_HeLa_30SPD_FMS_45_QC14_R1_raw_5	04812_300ng_iH_HeLa_30SPD_FMS_45_QC14_R1_raw	5	04812_300ng_iH_HeLa_30SPD_FMS_45_QC14_R1_raw_5	04812_300ng_iH_HeLa_30SPD_FMS_45_QC14_R1_raw	5	04812_300ng_iH_HeLa_30SPD_FMS_45_QC14_R1_raw_5
04812_300ng_iH_HeLa_30SPD_FMS-45_QC15_R1.raw	Not applicable	HELA	DLBCL_15	04812_300ng_iH_HeLa_30SPD_FMS_45_QC15_R1_raw	6	04812_300ng_iH_HeLa_30SPD_FMS_45_QC15_R1_raw_6	04812_300ng_iH_HeLa_30SPD_FMS_45_QC15_R1_raw	6	04812_300ng_iH_HeLa_30SPD_FMS_45_QC15_R1_raw_6	04812_300ng_iH_HeLa_30SPD_FMS_45_QC15_R1_raw	6	04812_300ng_iH_HeLa_30SPD_FMS_45_QC15_R1_raw_6
04812_300ng_iH_HeLa_30SPD_FMS-45_QC16_R1.raw	Not applicable	HELA	DLBCL_16	04812_300ng_iH_HeLa_30SPD_FMS_45_QC16_R1_raw	7	04812_300ng_iH_HeLa_30SPD_FMS_45_QC16_R1_raw_7	04812_300ng_iH_HeLa_30SPD_FMS_45_QC16_R1_raw	7	04812_300ng_iH_HeLa_30SPD_FMS_45_QC16_R1_raw_7	04812_300ng_iH_HeLa_30SPD_FMS_45_QC16_R1_raw	7	04812_300ng_iH_HeLa_30SPD_FMS_45_QC16_R1_raw_7
04812_300ng_iH_HeLa_30SPD_FMS-45_QC17_R1.raw	Not applicable	HELA	DLBCL_17	04812_300ng_iH_HeLa_30SPD_FMS_45_QC17_R1_raw	8	04812_300ng_iH_HeLa_30SPD_FMS_45_QC17_R1_raw_8	04812_300ng_iH_HeLa_30SPD_FMS_45_QC17_R1_raw	8	04812_300ng_iH_HeLa_30SPD_FMS_45_QC17_R1_raw_8	04812_300ng_iH_HeLa_30SPD_FMS_45_QC17_R1_raw	8	04812_300ng_iH_HeLa_30SPD_FMS_45_QC17_R1_raw_8
04812_300ng_iH_HeLa_30SPD_FMS-45_QC18_R1.raw	Not applicable	HELA	DLBCL_18	04812_300ng_iH_HeLa_30SPD_FMS_45_QC18_R1_raw	9	04812_300ng_iH_HeLa_30SPD_FMS_45_QC18_R1_raw_9	04812_300ng_iH_HeLa_30SPD_FMS_45_QC18_R1_raw	9	04812_300ng_iH_HeLa_30SPD_FMS_45_QC18_R1_raw_9	04812_300ng_iH_HeLa_30SPD_FMS_45_QC18_R1_raw	9	04812_300ng_iH_HeLa_30SPD_FMS_45_QC18_R1_raw_9
04812_300ng_iH_HeLa_30SPD_FMS-45_QC19_R1.raw	Not applicable	HELA	DLBCL_19	04812_300ng_iH_HeLa_30SPD_FMS_45_QC19_R1_raw	10	04812_300ng_iH_HeLa_30SPD_FMS_45_QC19_R1_raw_10	04812_300ng_iH_HeLa_30SPD_FMS_45_QC19_R1_raw	10	04812_300ng_iH_HeLa_30SPD_FMS_45_QC19_R1_raw_10	04812_300ng_iH_HeLa_30SPD_FMS_45_QC19_R1_raw	10	04812_300ng_iH_HeLa_30SPD_FMS_45_QC19_R1_raw_10
