"Protein.Groups","sample_typepoor.logFC","sample_typepoor.adjPval"
"1433B_HUMAN",0.558296007411151,0.367654426971523
"1433B_HUMAN;1433E_HUMAN;1433F_HUMAN;1433G_HUMAN;1433S_HUMAN;1433T_HUMAN;1433Z_HUMAN",0.143590560253512,0.839209755990956
"1433B_HUMAN;1433G_HUMAN",-0.634792784143674,0.447810575749528
"1433E_HUMAN",0.100739896783569,0.906803236295921
"1433F_HUMAN",0.218350281900692,0.854877808604174
"1433G_HUMAN",-0.095607494885807,0.948804288479597
"1433S_HUMAN",NA,NA
"1433T_HUMAN",0.0863181032272755,0.87901093267589
"1433Z_HUMAN",0.232752761669243,0.770278635437237
"2A5A_HUMAN",-0.0125316521837977,0.992157829197593
"2A5B_HUMAN",0.207033190631416,0.753164025310046
"2A5B_HUMAN;2A5E_HUMAN",0.261496255128025,0.609643674102942
"2A5D_HUMAN",0.243766170490254,0.573552150505166
"2A5D_HUMAN;2A5G_HUMAN",-0.0783355677243427,0.854146326923874
"2A5E_HUMAN",-0.347755892729233,0.504184392248542
"2AAA_HUMAN",0.294622899143954,0.675694722907739
"2AAA_HUMAN;2AAB_HUMAN",0.120547369734091,0.853171836223867
"2AAB_HUMAN",NA,NA
"2ABA_HUMAN",0.399143631254277,0.26538550835294
"2ABA_HUMAN;2ABD_HUMAN",0.138410899560818,0.791396843684095
"2ABA_HUMAN;2ABG_HUMAN",NA,NA
"2ABG_HUMAN",-0.623055850110016,0.231120939979303
"3BP1_HUMAN",0.644251238619053,0.383279857423071
"3HIDH_HUMAN",-0.335130426926216,0.398396944898846
"3MG_HUMAN",NA,NA
"4F2_HUMAN",0.287447264128436,0.677923719759538
"5NT3A_HUMAN",0.677914329091151,0.304935951857538
"5NTC_HUMAN",0.95477259795532,0.305876045592995
"5NTD_HUMAN",0.144132839158818,0.801722812345745
"6PGD_HUMAN",0.159806680063761,0.677571915806215
"6PGL_HUMAN",0.223295157390845,0.661243292961952
"7B2_HUMAN",0.272458510762673,0.570416538833752
"8ODP_HUMAN",NA,NA
"A16A1_HUMAN",1.03056440102638,0.519404475688286
"A16L1_HUMAN",NA,NA
"A1AG1_HUMAN",0.610386437558105,0.44819547351857
"A1AG1_HUMAN;A1AG2_HUMAN",-0.546410984935001,0.608288090609964
"A1AG2_HUMAN",0.25291897105893,0.784162066001505
"A1AT_HUMAN",0.931871253068964,0.194206521095832
"A1BG_HUMAN",-0.986595659987464,0.273654284935766
"A2AP_HUMAN",0.940423519393805,0.623412201923146
"A2GL_HUMAN",-0.112871764960254,0.913913301094307
"A2MG_HUMAN",-0.0409860234490362,0.965029062785079
"A2MG_HUMAN;CONTAMINANT_ENSBTAP00000024146",1.55780929484699,0.437158364193027
"A2MG_HUMAN;CONTAMINANT_ENSBTAP00000024146;PZP_HUMAN",0.737597643028775,0.420131656240381
"A2MG_HUMAN;PZP_HUMAN",-0.0196787676629243,0.98888134321389
"A4_HUMAN",-0.253256450839907,0.64303903232633
"AAAS_HUMAN",NA,NA
"AAAT_HUMAN",NA,NA
"AACS_HUMAN",-0.500465549836368,0.574218348148444
"AACT_HUMAN",0.176361857398067,0.839977029395848
"AAK1_HUMAN",-0.761213745022372,0.250936942280209
"AAKB1_HUMAN",0.110224531973821,0.888484406708398
"AAKB2_HUMAN",-0.220316572140769,0.726508543386441
"AAKG1_HUMAN",-0.157479829129564,0.649787858440825
"AAKG1_HUMAN;AAKG2_HUMAN",-0.145943322460974,0.664083108426295
"AAKG2_HUMAN",0.00647240398519798,0.992857401003399
"AAMP_HUMAN",0.29728085210924,0.650698926653174
"AAPK1_HUMAN",0.146464741057922,0.740898201257344
"AAPK1_HUMAN;AAPK2_HUMAN",0.384204818700954,0.410126302549716
"AASD1_HUMAN",0.0429128852840073,0.937439874358373
"AASS_HUMAN",NA,NA
"AATC_HUMAN",0.00902079324736385,0.995533757596402
"AATM_HUMAN",-0.252413379617188,0.824884607624435
"AB1IP_HUMAN",-0.0103689929198313,0.992279753171679
"ABCA2_HUMAN",0.4927551015509,0.430961836095486
"ABCA8_HUMAN",NA,NA
"ABCB6_HUMAN",0.216599664809838,0.838168488100986
"ABCB7_HUMAN",-0.465414002518013,0.553031168724063
"ABCD1_HUMAN",NA,NA
"ABCD3_HUMAN",-0.194075483999394,0.661472921230328
"ABCE1_HUMAN",1.01737355741948,0.0603431774625226
"ABCF1_HUMAN",1.48956772889452,0.0237991616161013
"ABCF2_HUMAN",0.407474487422006,0.339403369944258
"ABCF3_HUMAN",0.16837624781992,0.777809264208892
"ABD12_HUMAN",0.983595056173158,0.542403320830205
"ABHD6_HUMAN",0.265159731499674,0.818940957499157
"ABHDA_HUMAN",-0.197747960195284,0.67628232645004
"ABHDB_HUMAN",0.230389279039054,0.629570206396849
"ABHEB_HUMAN",0.44606525792593,0.395252555281315
"ABHGA_HUMAN",0.0669989639379429,0.944046137039645
"ABI1_HUMAN",-0.145607240376509,0.937195111451375
"ABI1_HUMAN;ABI2_HUMAN",0.00263852959734931,0.995776575035583
"ABI2_HUMAN",-0.569614788068225,0.339512971604315
"ABI3_HUMAN",NA,NA
"ABLM1_HUMAN",-0.142231884660101,0.854146326923874
"ABLM2_HUMAN",0.044941273445595,0.93512437504868
"ABLM3_HUMAN",-0.509757232683828,0.640851432863881
"ABR_HUMAN",-0.300406844920251,0.583025983824568
"ABR_HUMAN;BCR_HUMAN",-0.756868127520795,0.147710817254987
"ACACA_HUMAN",0.00660000750809302,0.988830143319493
"ACACA_HUMAN;ACACB_HUMAN",-0.216318444414713,0.339512971604315
"ACAD8_HUMAN",-0.288420533026805,0.702851250938114
"ACAD9_HUMAN",-0.0130385772916647,0.982332323238592
"ACADM_HUMAN",0.0612484990317312,0.916608570339476
"ACADS_HUMAN",-0.168810496356428,0.673220700767883
"ACADV_HUMAN",-0.0115130181522554,0.980987662044179
"ACAP2_HUMAN",0.480904319099434,0.520352990593884
"ACBD7_HUMAN",-0.328158253034422,0.649787858440825
"ACBG1_HUMAN",0.0154632085189265,0.980987662044179
"ACBP_HUMAN",0.163774776401285,0.900552062963952
"ACDSB_HUMAN",0.0186778509926308,0.968032660304001
"ACINU_HUMAN",NA,NA
"ACL6A_HUMAN",NA,NA
"ACL6B_HUMAN",NA,NA
"ACLY_HUMAN",0.677241045839641,0.155970441238582
"ACM1_HUMAN",-0.120449905423735,0.881174610573481
"ACO13_HUMAN",-0.35306954841229,0.575441549492851
"ACOC_HUMAN",-0.0232377811682052,0.965774447694496
"ACON_HUMAN",-0.373798375812123,0.687093752403044
"ACOT1_HUMAN",-0.166214003040263,0.695967041690466
"ACOT9_HUMAN",-0.00297924592122381,0.995533757596402
"ACOX1_HUMAN",-0.187084247391046,0.790774342950015
"ACPH_HUMAN",0.67266913347548,0.0187007728373642
"ACPM_HUMAN",-0.131947555364377,0.906090046673492
"ACS2L_HUMAN",-0.05632512202034,0.901368578805958
"ACSA_HUMAN",0.345873796782445,0.661201387334346
"ACSF2_HUMAN",0.258917899792258,0.819445706308428
"ACSF3_HUMAN",0.125138111302656,0.762158146478929
"ACSL1_HUMAN",0.841560312450056,0.0859500212389887
"ACSL3_HUMAN",0.406291039046996,0.280419353969402
