"Protein.Groups","sample_typenot_brain.logFC","sample_typenot_brain.pval","sample_typenot_brain.adjPval"
"1433Z_HUMAN",-1.51282272890785,2.71149825002922e-05,0.00155487477775113
"2A5B_HUMAN",-0.643956105479814,0.0625256059805726,0.183869370151203
"2A5B_HUMAN;2A5E_HUMAN",NA,NA,NA
"2A5D_HUMAN",-0.126511436969763,0.606574364962122,0.755644236052609
"2A5D_HUMAN;2A5G_HUMAN",0.276674901756118,0.16526867282436,0.330357314414707
"2AAA_HUMAN",-1.49194033409925,6.65873880594412e-06,0.0008073965073182
"2AAA_HUMAN;2AAB_HUMAN",-0.341826838568098,0.319601522927538,0.500399995368628
"3MG_HUMAN",NA,NA,NA
"4F2_HUMAN",-1.10746721013084,0.00145894493134156,0.0215566586756858
"5NT3A_HUMAN",-0.679153555653809,0.258817923804234,0.438839117220916
"7B2_HUMAN",0.342734891911571,0.195007300923713,0.367768136891073
"A16L1_HUMAN",NA,NA,NA
"A2AP_HUMAN",1.45804051148949,0.0278580507562378,0.114617764882727
"A4_HUMAN",-0.0357229865972062,0.912313923335595,0.954989189572628
"AACT_HUMAN",0.0633582751460671,0.868515252057724,0.936383952717934
"AAKG1_HUMAN",0.474184308255291,0.00330803377115686,0.0361059278595768
"AAKG1_HUMAN;AAKG2_HUMAN",0.225199953155566,0.218355944814734,0.394767957967098
"AAKG2_HUMAN",0.447909620633247,0.0885341133397682,0.224082893763413
"AAMP_HUMAN",-0.00194925264555718,0.995507750879258,0.997557514380692
"AASD1_HUMAN",-0.145162110337882,0.484221175477067,0.648962106255934
"ABCA2_HUMAN",-0.419879137889698,0.248468886114641,0.428675441340967
"ABCB7_HUMAN",0.465070137565157,0.256958305147861,0.436995820154147
"ABCD3_HUMAN",0.0593426799531939,0.795122576690121,0.889664590381934
"ABCF1_HUMAN",-0.951637351382023,0.0708907400113866,0.197534460569596
"ABD12_HUMAN",-0.916662873071436,0.300818879418663,0.478753377045314
"ABHEB_HUMAN",-0.539704003687277,0.0622376732987955,0.183611142288247
"ABHGA_HUMAN",-0.252966938991446,0.42201439837033,0.597569114748779
"ABI1_HUMAN",0.238383370952899,0.752425109067372,0.863477220224282
"ABI1_HUMAN;ABI2_HUMAN",0.0702110617387591,0.78765547904625,0.885096846965965
"ABI2_HUMAN",0.782639927457378,0.0473437414649576,0.155970853838774
"ABLM1_HUMAN",0.623343938739922,0.126963841862902,0.276041054287233
"ABLM2_HUMAN",0.410284862259493,0.0629266847665221,0.184750049119511
"ABLM3_HUMAN",0.539847247012718,0.320796635518213,0.501415524851721
"ABR_HUMAN",0.501018249615188,0.120272558075025,0.267191457709044
"ABR_HUMAN;BCR_HUMAN",0.634885622350105,0.111265462076187,0.254578706870079
"ACADM_HUMAN",-0.113099310067445,0.660120373109229,0.796089007911247
"ACAP2_HUMAN",-0.701341617450776,0.160713570940437,0.324432786221895
"ACBG1_HUMAN",0.599515756333507,0.00591625981007922,0.0490070319087735
"ACBP_HUMAN",-0.622190820439556,0.292864614382961,0.471823149598536
"ACINU_HUMAN",-1.14070551838765,0.0323146268073381,0.124313082162401
"ACM1_HUMAN",0.048963287760556,0.910399636654467,0.954571017746654
"ACON_HUMAN",-0.669131320595576,0.159634423814693,0.32352008115437
"ACPH_HUMAN",-0.465957548301715,0.0138416658900177,0.0791260339818768
"ACPM_HUMAN",-0.490480881682499,0.36035412619868,0.539795772713942
"ACSF2_HUMAN",0.141505548564291,0.744316406256558,0.857927516005517
"ACSF3_HUMAN",0.204712763041098,0.37272109386961,0.550678910829899
"ACSL1_HUMAN",0.0528178808069634,0.878788227110168,0.942286858275855
"ACSL6_HUMAN",0.176175527426636,0.587010650762262,0.741566090913559
"ACSS3_HUMAN",-0.136397660878454,0.829301223297731,0.908765812704246
"ACTA_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTH_HUMAN;ACTS_HUMAN",-0.565409729337269,0.0589464372731688,0.178198867209662
"ACTA_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTH_HUMAN;ACTS_HUMAN;POTEF_HUMAN;POTEI_HUMAN",-0.39685432802314,0.0372113592630987,0.136324989367696
"ACTA_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTH_HUMAN;ACTS_HUMAN;POTEF_HUMAN;POTEI_HUMAN;POTEJ_HUMAN",-2.28076889811615,0.0407165902706829,0.144028036728757
"ACTA_HUMAN;ACTBL_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTH_HUMAN;ACTS_HUMAN",-1.40746784171665,0.0294528607433947,0.11749130318289
"ACTA_HUMAN;ACTBL_HUMAN;ACTBM_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTH_HUMAN;ACTS_HUMAN;POTEF_HUMAN",-0.882987155323995,6.75748346222535e-05,0.00282147330992662
