"","logFC","pval","adjPval","negLogAdjPval","significant"
"1433B_HUMAN",-1.8711517212386,0.000246305764766946,0.0184897041099491,1.73307003878375,FALSE
"1433B_HUMAN;1433E_HUMAN;1433F_HUMAN;1433G_HUMAN;1433S_HUMAN;1433T_HUMAN;1433Z_HUMAN",-0.35842243319857,0.526998753038748,0.752495613048812,0.123496027606873,FALSE
"1433E_HUMAN",-1.49235095386637,0.00444489384606562,0.0745426840409065,1.12759497376129,FALSE
"1433F_HUMAN",-2.05397020387797,0.0195295065633853,0.147571236951373,0.830998282422135,FALSE
"1433G_HUMAN",-1.96540938310116,0.0270510980440445,0.18121022355995,0.741817303842319,FALSE
"1433T_HUMAN",-0.915439414662022,0.041348176292412,0.218859026526825,0.659835536828117,FALSE
"1433Z_HUMAN",-1.51275188970205,0.0087737742198407,0.0975099426653454,1.01095109892155,FALSE
"2A5D_HUMAN",-0.536561941038592,0.186752472898777,0.456081610833132,0.340957438117972,FALSE
"2A5D_HUMAN;2A5G_HUMAN",0.423647973192103,0.21285854856887,0.485879200795746,0.313471691537882,FALSE
"2A5E_HUMAN",0.658317349153468,0.172406655000238,0.436079841654447,0.3604339886776,FALSE
"2AAA_HUMAN",-1.36676576558686,0.00592599076794633,0.0843950766797626,1.07368288789066,FALSE
"2AAA_HUMAN;2AAB_HUMAN",-0.361035991807649,0.495906240946977,0.729979316611156,0.136689445097214,FALSE
"2ABA_HUMAN",-1.17395428077424,0.000144099777091632,0.0139310578617704,1.85601590395753,FALSE
"2ABA_HUMAN;2ABD_HUMAN",-1.03466839183408,0.0146523242870723,0.126409947327051,0.898218749635372,FALSE
"2ABG_HUMAN",0.422240705782953,0.372822849200612,0.636607119648006,0.19612850865163,FALSE
"3BP1_HUMAN",-0.196598517340042,0.741009640364247,0.884407862801065,0.0533474049943466,FALSE
"3HIDH_HUMAN",0.32592301629405,0.385956410649277,0.647948460257277,0.188459537827033,FALSE
"4F2_HUMAN",-1.553805045084,0.00858213236569551,0.0973257315747121,1.01177232310771,FALSE
"5NT3A_HUMAN",-0.0558799841613634,0.9418424986005,0.980005157613119,0.0087716386778896,FALSE
"5NTD_HUMAN",0.515173412930378,0.234340857690018,0.509106674968335,0.293191208830054,FALSE
"6PGD_HUMAN",-0.656416800801124,0.058894675172264,0.260197308187139,0.584697200647295,FALSE
"6PGL_HUMAN",-0.654084951089664,0.0902414085033613,0.318885647551346,0.496365027102359,FALSE
"7B2_HUMAN",0.546731733208865,0.259894972151687,0.532750267445258,0.273476323594107,FALSE
"A1AG1_HUMAN",1.66247345908911,0.0306974115787011,0.190121233876119,0.720969375821362,FALSE
"A1AG1_HUMAN;A1AG2_HUMAN",2.77498598311146,0.00459536117819315,0.0762876373369742,1.11754583519512,FALSE
"A1AG2_HUMAN",1.66616543679245,0.0220354566166919,0.159538647354771,0.797134094426253,FALSE
"A1AT_HUMAN",1.72436135318614,0.0168502459250008,0.136757428038217,0.864049075463287,FALSE
"A2AP_HUMAN",2.97017977829535,0.0684323460668851,0.276675426226139,0.558029412338331,FALSE
"A2GL_HUMAN",1.8681114912315,0.00684619644725653,0.0892863074639547,1.04921513740256,FALSE
"A2MG_HUMAN",0.481319463953215,0.394053714628809,0.654622040172047,0.184009376718265,FALSE
"A2MG_HUMAN;CONTAMINANT_ENSBTAP00000024146;PZP_HUMAN",1.39336079188324,0.0943009029385105,0.324569735619614,0.488691978244131,FALSE
"A2MG_HUMAN;PZP_HUMAN",0.446977709932346,0.589557177531242,0.796811282769292,0.0986445249737255,FALSE
"A4_HUMAN",-1.14528857527356,0.00793250349306767,0.0944715180496864,1.02469910597009,FALSE
"AACT_HUMAN",-1.06085393197457,0.126062387770294,0.373694603700193,0.427483173491411,FALSE
"AAK1_HUMAN",0.452939649799577,0.550572855447169,0.76716107497026,0.115113440970978,FALSE
"AAKB2_HUMAN",-0.331999784869567,0.587868909997674,0.796492748854702,0.0988181735938287,FALSE
"AAKG1_HUMAN",0.648297033258761,0.02497513995631,0.171264013872356,0.766333881742547,FALSE
"AAKG1_HUMAN;AAKG2_HUMAN",0.115623017438076,0.680874770958132,0.852321038700568,0.0693967912959994,FALSE
"AAKG2_HUMAN",0.428320310274427,0.245814225822994,0.521284748567859,0.282924981210932,FALSE
"AAMP_HUMAN",0.491771032446575,0.444932932637856,0.697422293552996,0.156504174235205,FALSE
"AAPK1_HUMAN",0.372963531038656,0.326958975954752,0.595739553194718,0.224943564641879,FALSE
"AAPK1_HUMAN;AAPK2_HUMAN",-0.743834349444361,0.0706317917978823,0.282098055455211,0.549599907492213,FALSE
"AASD1_HUMAN",0.582733484032746,0.160686419678918,0.419763109508817,0.376995731643912,FALSE
