"","logFC","pval","adjPval","negLogAdjPval","significant"
"1433B_HUMAN",-0.125820883776066,0.714602832886138,0.86352128798526,0.0637269515064019,FALSE
"1433B_HUMAN;1433E_HUMAN;1433F_HUMAN;1433G_HUMAN;1433S_HUMAN;1433T_HUMAN;1433Z_HUMAN",0.184296937095031,0.690995819511266,0.849186183207094,0.0709970806927239,FALSE
"1433E_HUMAN",-0.503941602854753,0.216598196318088,0.533450947089356,0.27290550948759,FALSE
"1433F_HUMAN",-0.563048138928752,0.425927723001253,0.678635203831855,0.16836361531666,FALSE
"1433G_HUMAN",-0.938449407949398,0.200566194581792,0.531451608962577,0.274536273788466,FALSE
"1433T_HUMAN",-0.22724906153862,0.498203330281893,0.725562404358255,0.139325228708105,FALSE
"1433Z_HUMAN",-0.384058957463465,0.401955604130044,0.666160616161963,0.176421046651042,FALSE
"2A5D_HUMAN",-0.020217964670118,0.941403153397042,0.973234839899767,0.0117823525716862,FALSE
"2A5D_HUMAN;2A5G_HUMAN",0.081430932767693,0.735994534931725,0.874625465047209,0.0581778821609715,FALSE
"2A5E_HUMAN",-0.223983119710058,0.471243316458248,0.705315663425829,0.151616471374638,FALSE
"2AAA_HUMAN",-0.252369267702842,0.50373468363876,0.727494270717838,0.138170422555699,FALSE
"2AAA_HUMAN;2AAB_HUMAN",0.0389132857024004,0.922330532029479,0.965174993094961,0.0153939388369756,FALSE
"2ABA_HUMAN",-0.0468791694591554,0.80704824985748,0.912858774012917,0.0395964058293728,FALSE
"2ABA_HUMAN;2ABD_HUMAN",-0.268585827030287,0.356166103576191,0.633958608631926,0.197939096423584,FALSE
"2ABG_HUMAN",-0.363142935334747,0.324097874070835,0.60051280274568,0.221477729139458,FALSE
"3BP1_HUMAN",0.385417319349897,0.371760152993257,0.645364626965948,0.19019484236332,FALSE
"3HIDH_HUMAN",-0.0782518934824898,0.789123062483681,0.904409869729379,0.0436347068910094,FALSE
"4F2_HUMAN",-0.311318885773507,0.471371571714362,0.705315663425829,0.151616471374638,FALSE
"5NT3A_HUMAN",0.772371685416972,0.0733519616486399,0.415737241680262,0.381181069716092,FALSE
"5NTD_HUMAN",0.249848456198808,0.502638097666292,0.726548560698813,0.138735353232819,FALSE
"6PGD_HUMAN",-0.164471310126308,0.558279761504556,0.767488739466949,0.114927987737737,FALSE
"6PGL_HUMAN",0.0999155632563647,0.755743166305414,0.883716751208074,0.0536869127011258,FALSE
"7B2_HUMAN",0.34890446211706,0.238680987044553,0.544171966008013,0.264263835436873,FALSE
"A1AG1_HUMAN",1.43133039803012,0.0254953184987696,0.305327605613784,0.515233928017946,FALSE
"A1AG1_HUMAN;A1AG2_HUMAN",1.40367834508121,0.0816553218782265,0.421885690842815,0.374805204396247,FALSE
"A1AG2_HUMAN",0.926760707285899,0.104960700873534,0.457803969810099,0.339320445695672,FALSE
"A1AT_HUMAN",1.80214760065699,0.00216652202230791,0.110075277077137,0.958310212678157,FALSE
"A2AP_HUMAN",1.80553883622232,0.138558163232975,0.483437819258816,0.31565937781553,FALSE
"A2GL_HUMAN",0.896215614691753,0.0759531276475491,0.41714975300934,0.379708009221984,FALSE
"A2MG_HUMAN",0.0267210876278822,0.95555405905483,0.977266125754406,0.00998715459397657,FALSE
"A2MG_HUMAN;CONTAMINANT_ENSBTAP00000024146;PZP_HUMAN",1.16441206253034,0.0822763533210671,0.422369063428012,0.37430789936283,FALSE
"A2MG_HUMAN;PZP_HUMAN",-0.0508449509495923,0.938228335190974,0.972266138021522,0.0122148395453479,FALSE
"A4_HUMAN",-0.744120349684409,0.00900633820942872,0.202828480438807,0.69287106300252,FALSE
"AACT_HUMAN",-0.486315124206579,0.384788297653247,0.653980938152132,0.184434910048807,FALSE
"AAK1_HUMAN",-0.581300393282344,0.235411971326512,0.544171966008013,0.264263835436873,FALSE
"AAKB2_HUMAN",-0.35384544821362,0.337987008753693,0.617544912603329,0.209331451693416,FALSE
"AAKG1_HUMAN",0.0659503086765835,0.740700682862265,0.876989152876921,0.057005778213014,FALSE
"AAKG1_HUMAN;AAKG2_HUMAN",-0.148061410282734,0.487920707062566,0.717970031773442,0.14389368292629,FALSE
"AAKG2_HUMAN",0.0384108049312905,0.893089421134409,0.953657259062399,0.0206076811060533,FALSE
"AAMP_HUMAN",0.614039599320699,0.277854446767381,0.571531643632278,0.242959719294179,FALSE
"AAPK1_HUMAN",0.278592251247273,0.307708861728923,0.585703636699259,0.232322079380752,FALSE
"AAPK1_HUMAN;AAPK2_HUMAN",0.14082156078697,0.634505153057218,0.813961873679465,0.0893959371727283,FALSE
"AASD1_HUMAN",0.447284348860123,0.195582129235751,0.529990485406359,0.275731926951298,FALSE
"AATC_HUMAN",-1.19631845364678,0.141118063439181,0.488783007928964,0.310883900332927,FALSE
"AATM_HUMAN",-1.11407287525245,0.14293504643776,0.490496431953022,0.309364147486377,FALSE
"ABCA2_HUMAN",0.417178622341865,0.421057147534913,0.677361361838788,0.169179580084051,FALSE
"ABCD3_HUMAN",0.124813336341619,0.612545007241123,0.801846052887922,0.0959090042831291,FALSE
"ABCE1_HUMAN",1.10386297411555,0.0179911520949195,0.26283074193778,0.580323838986272,FALSE
"ABCF1_HUMAN",1.46020327823153,0.00291538424579777,0.124452831375809,0.904995218485663,FALSE
"ABCF2_HUMAN",0.506718619161017,0.093122840806027,0.434213957001646,0.362296221067272,FALSE
"ABD12_HUMAN",-0.139364007832084,0.917997026270118,0.963717701182716,0.0160501639948649,FALSE
"ABHDA_HUMAN",-0.394496479865317,0.220379920075955,0.537134011407655,0.269917347160887,FALSE
"ABHDB_HUMAN",0.583297991296984,0.0771356140866315,0.418550560362306,0.37825207229427,FALSE
"ABHEB_HUMAN",0.131985737982762,0.786941331699779,0.903028615520062,0.044298487376912,FALSE
"ABI1_HUMAN",0.616018651517923,0.562946660083813,0.771323748101498,0.112763297043205,FALSE
"ABI1_HUMAN;ABI2_HUMAN",-0.215017175544837,0.461120883203048,0.700228067516935,0.154760485225624,FALSE
"ABI2_HUMAN",-0.600258207943911,0.135442012887353,0.482098650508174,0.316864084193562,FALSE
"ABLM1_HUMAN",-0.336407640983312,0.372370413682381,0.645364626965948,0.19019484236332,FALSE
"ABLM2_HUMAN",0.0982929207012177,0.687227363197514,0.848248272299528,0.0714770162470008,FALSE
"ABR_HUMAN",-0.470791948127051,0.185704681704732,0.519484990463382,0.284426996043472,FALSE
"ABR_HUMAN;BCR_HUMAN",-0.883760550214843,0.0175877388471154,0.260409448605713,0.584343262028279,FALSE
"ACACA_HUMAN",0.0367375818265439,0.842124057236971,0.927162633903907,0.0328440794348223,FALSE
"ACACA_HUMAN;ACACB_HUMAN",-0.182535868933493,0.262955464242977,0.566970843620872,0.246439274052674,FALSE
"ACAD8_HUMAN",-0.398133692691105,0.398678098783951,0.664219139355274,0.177688614439793,FALSE
"ACAD9_HUMAN",0.196791048501294,0.400959950451564,0.666091766906957,0.176465934319384,FALSE
"ACADM_HUMAN",0.0372565517634417,0.913186184603528,0.962768075538686,0.016478318944632,FALSE
"ACADS_HUMAN",0.0511287998548163,0.846768085304943,0.929324439531669,0.0318326415499335,FALSE
"ACADV_HUMAN",-0.0791331639946196,0.756471159809973,0.884189163910571,0.0534548118489207,FALSE
"ACAP2_HUMAN",0.474786430607639,0.313159216710032,0.587580016475438,0.23093298293288,FALSE
"ACBD7_HUMAN",-0.296124445342049,0.279702345818543,0.572967575437446,0.241869954310161,FALSE
"ACBG1_HUMAN",0.405344536158521,0.0916387882952577,0.432268578196067,0.364246332386835,FALSE
"ACBP_HUMAN",0.265326472208832,0.703252530292063,0.858051621035638,0.0664865838802567,FALSE
