"","logFC","pval","adjPval","negLogAdjPval","significant"
"1433B_HUMAN",1.74533083746253,2.94322019073174e-05,0.00156038141402181,2.8067692312876,TRUE
"1433B_HUMAN;1433E_HUMAN;1433F_HUMAN;1433G_HUMAN;1433S_HUMAN;1433T_HUMAN;1433Z_HUMAN",0.542719370293601,0.202110646800112,0.376572476538127,0.424151425488852,FALSE
"1433E_HUMAN",0.988409351011622,0.0106967493076127,0.0567100241518113,1.24634016775551,FALSE
"1433F_HUMAN",1.49092206494921,0.0210539886992555,0.0883837303377431,1.0536276724851,FALSE
"1433G_HUMAN",1.02695997515176,0.104417497635675,0.247812501608999,0.605876788182511,FALSE
"1433T_HUMAN",0.688190353123402,0.04810046313574,0.151879176106798,0.818501767426641,FALSE
"1433Z_HUMAN",1.12869293223858,0.00773258643613989,0.046466200394135,1.33286283893336,FALSE
"2A5D_HUMAN",0.516343976368474,0.125334041140929,0.278367418517634,0.555381598034398,FALSE
"2A5D_HUMAN;2A5G_HUMAN",-0.34221704042441,0.237410915757547,0.416197162717364,0.380700884769256,FALSE
"2A5E_HUMAN",-0.882300468863526,0.0417348213469945,0.137457272312195,0.861832278435948,FALSE
"2AAA_HUMAN",1.11439649788402,0.00316350174805206,0.0254551211893883,1.59422483098739,FALSE
"2AAA_HUMAN;2AAB_HUMAN",0.399949277510049,0.349039238522021,0.532386068223611,0.273773317909561,FALSE
"2ABA_HUMAN",1.12707511131508,2.0912878695933e-05,0.00118518331506089,2.92621447112043,TRUE
"2ABA_HUMAN;2ABD_HUMAN",0.766082564803794,0.0249712013704349,0.0977146891721661,1.01004014511551,FALSE
"2ABG_HUMAN",-0.785383641117699,0.0779339792703031,0.206921639629634,0.684194088936447,FALSE
"3BP1_HUMAN",0.582015836689939,0.301071074947831,0.487018023303897,0.312454966348836,FALSE
"3HIDH_HUMAN",-0.40417490977654,0.173869403751754,0.343868068671489,0.463608150562458,FALSE
"4F2_HUMAN",1.2424861593105,0.00700455729609981,0.0436123066762133,1.36039094267172,FALSE
"5NT3A_HUMAN",0.828251669578336,0.260372937577067,0.44268067615001,0.35390943538412,FALSE
"5NTD_HUMAN",-0.26532495673157,0.343246609350222,0.527466855976709,0.27780482459644,FALSE
"6PGD_HUMAN",0.491945490674815,0.0549002588621587,0.164951691846358,0.782643225703545,FALSE
"6PGL_HUMAN",0.754000514346029,0.00864000314364514,0.0505332568205722,1.29642271099147,FALSE
"7B2_HUMAN",-0.197827271091805,0.654278249470859,0.785468446315089,0.104871256666638,FALSE
"A1AG1_HUMAN",-0.231143061058996,0.673884287807812,0.80101838348182,0.0963575166834319,FALSE
"A1AG1_HUMAN;A1AG2_HUMAN",-1.37130763803025,0.0251324098892834,0.0977635873444669,1.00982287077457,FALSE
"A1AG2_HUMAN",-0.739404729506555,0.172910689534587,0.343026366107071,0.464672497406991,FALSE
"A1AT_HUMAN",0.0777862474708502,0.883259164241843,0.931730703742919,0.0307095927729411,FALSE
"A2AP_HUMAN",-1.16464094207303,0.326970820169553,0.511577721004431,0.291088377124423,FALSE
"A2GL_HUMAN",-0.971895876539743,0.0663328258864515,0.187155363681344,0.727797721935449,FALSE
"A2MG_HUMAN",-0.454598376325333,0.26997893441493,0.452534807456337,0.344348010702228,FALSE
"A2MG_HUMAN;CONTAMINANT_ENSBTAP00000024146;PZP_HUMAN",-0.228948729352899,0.75060545683412,0.850772460901294,0.0701865764469927,FALSE
