"","logFC","pval","adjPval","negLogAdjPval","significant"
"1433B_HUMAN",1.28012462808225,0.00106221367006009,0.0266526437670803,1.57425970534259,FALSE
"1433B_HUMAN;1433E_HUMAN;1433F_HUMAN;1433G_HUMAN;1433S_HUMAN;1433T_HUMAN;1433Z_HUMAN",1.08559527338744,0.0110749427434834,0.0973351251278874,1.01173040848366,FALSE
"1433E_HUMAN",1.54121270003835,0.000457811812384265,0.0165365651352426,1.78155469416237,FALSE
"1433F_HUMAN",1.69060619493282,0.0125463352192954,0.104841742151987,0.979465771007503,FALSE
"1433G_HUMAN",2.01297309467484,0.00454068839243728,0.0609193581466993,1.21524468108805,FALSE
"1433T_HUMAN",0.741758234114349,0.0384414554495252,0.196006190609617,0.707730211780572,FALSE
"1433Z_HUMAN",1.67237487617018,0.000727130908400366,0.0211511442116107,1.67466613366259,FALSE
"2A5D_HUMAN",-0.297306207367984,0.368734451623149,0.58864989921578,0.230142926002078,FALSE
"2A5D_HUMAN;2A5G_HUMAN",-0.138534970060188,0.625799882140522,0.77498986030193,0.110703979614629,FALSE
"2A5E_HUMAN",-0.670664005891057,0.114171269967133,0.331520286556507,0.479489890879181,FALSE
"2AAA_HUMAN",1.72494122159481,0.000133145575886859,0.00852786876939044,2.0691594913813,TRUE
"2AAA_HUMAN;2AAB_HUMAN",0.236430087217957,0.660429898542654,0.804012250559149,0.0947373339509194,FALSE
"2ABA_HUMAN",0.285708920321647,0.37638291112544,0.596226809093648,0.224588499991295,FALSE
"2ABA_HUMAN;2ABD_HUMAN",-0.0613943107406472,0.859391230460391,0.926539400269785,0.0331361079630803,FALSE
"2ABG_HUMAN",0.436992009799976,0.304998060879672,0.531563428479046,0.274444906126786,FALSE
"3BP1_HUMAN",-1.2752374753246,0.0437921133396804,0.212749129998362,0.672132207213683,FALSE
"3HIDH_HUMAN",0.467404417295004,0.117751607707405,0.335689101937762,0.474062757784218,FALSE
"4F2_HUMAN",0.783868808444405,0.0769724974146901,0.276210260919308,0.558760191876645,FALSE
"5NT3A_HUMAN",1.01248614400723,0.173304941812652,0.395639822607909,0.402700001532767,FALSE
"5NTD_HUMAN",-1.178275332285,0.000247069426767306,0.0111248932299196,1.95370414842606,FALSE
"6PGD_HUMAN",-0.0484683491405175,0.838788226986032,0.913248394204401,0.0394110827500788,FALSE
"6PGL_HUMAN",1.273406759447,5.44219667647618e-05,0.00496902790988256,2.30372856391578,TRUE
"7B2_HUMAN",-0.223687206100026,0.504461480344798,0.694194446848026,0.158518864754071,FALSE
"A1AG1_HUMAN",-0.0399463931463209,0.939342540827974,0.974439133940614,0.0112452828873264,FALSE
"A1AG1_HUMAN;A1AG2_HUMAN",0.18039159144846,0.735914242061419,0.853652094744654,0.0687190896358497,FALSE
"A1AG2_HUMAN",-0.132629504842161,0.78376214044546,0.881665351007607,0.0546962264209299,FALSE
"A1AT_HUMAN",0.593012737141783,0.207018621491921,0.428942930815962,0.367600485158875,FALSE
"A2AP_HUMAN",-1.17438351451949,0.0822440837698951,0.284576466109614,0.545801018030138,FALSE
"A2GL_HUMAN",1.15060148865461,0.0148974073394069,0.112931176655173,0.947186146824581,FALSE
"A2MG_HUMAN",-0.73900640585613,0.0771306536771913,0.276475963617151,0.558342619593251,FALSE
"A2MG_HUMAN;CONTAMINANT_ENSBTAP00000024146;PZP_HUMAN",-0.274887575019454,0.647332245131292,0.793356111016613,0.100531828654555,FALSE
"A2MG_HUMAN;PZP_HUMAN",-0.915271604303088,0.171227783577204,0.394409716997232,0.404052393968417,FALSE
"A4_HUMAN",-0.691131248637959,0.0563040727773458,0.237430606294249,0.624463298490329,FALSE
"AACT_HUMAN",-0.603493238454792,0.207710552574532,0.429661399503103,0.366873661293549,FALSE
"AAK1_HUMAN",0.298779933151249,0.537998540583456,0.718034683649376,0.143854577270605,FALSE
"AAKB2_HUMAN",-0.341859929906271,0.546395691176191,0.724242495154495,0.140115996407083,FALSE
