"","logFC","pval","adjPval","negLogAdjPval","significant"
"1433B_HUMAN",0.465206209380284,0.319001643193513,0.730940721147406,0.136117842635132,FALSE
"1433B_HUMAN;1433E_HUMAN;1433F_HUMAN;1433G_HUMAN;1433S_HUMAN;1433T_HUMAN;1433Z_HUMAN",-0.542875903093836,0.300137743602986,0.712932950560267,0.146951312463618,FALSE
"1433E_HUMAN",-0.55280334902673,0.260401362153202,0.663901816617198,0.177896143002808,FALSE
"1433F_HUMAN",-0.199684129983607,0.801733965292424,0.953427729259092,0.0207122213107112,FALSE
"1433G_HUMAN",-0.986013119523076,0.228062768041284,0.630481344450547,0.200327759403429,FALSE
"1433T_HUMAN",-0.0535678809909466,0.903613726652897,0.97615450288052,0.010481438032087,FALSE
"1433Z_HUMAN",-0.5436819439316,0.321037053184976,0.732811662374318,0.135007627680123,FALSE
"2A5D_HUMAN",0.813650183736457,0.0725667270010606,0.422171383455728,0.374511208329334,FALSE
"2A5D_HUMAN;2A5G_HUMAN",-0.203682070364222,0.576686222729754,0.887022748765888,0.0520652420208033,FALSE
"2A5E_HUMAN",-0.211636462972469,0.698098038194482,0.93192349173785,0.0306197405215124,FALSE
"2AAA_HUMAN",-0.610544723710793,0.214427950411679,0.617924234643642,0.209064771664188,FALSE
"2AAA_HUMAN;2AAB_HUMAN",0.163519190292092,0.798037423211735,0.953427729259092,0.0207122213107112,FALSE
"2ABA_HUMAN",0.841366190993438,0.0295351935067776,0.295926191455466,0.528816595159766,FALSE
"2ABA_HUMAN;2ABD_HUMAN",0.827476875544441,0.0707872048630993,0.417410005513115,0.37943714490388,FALSE
"2ABG_HUMAN",-1.22237565091768,0.0305792027039711,0.300939638586686,0.52152060492963,FALSE
"3BP1_HUMAN",1.85725331201454,0.0254124176242764,0.278435389103321,0.55527556677867,FALSE
"3HIDH_HUMAN",-0.871579327071544,0.025582600415832,0.279014399312077,0.554373383176546,FALSE
"4F2_HUMAN",0.45861735086609,0.414884235710045,0.791942208350126,0.101306509711514,FALSE
"5NT3A_HUMAN",-0.184234474428899,0.849268150197401,0.96559820466927,0.0152035503909829,FALSE
"5NTD_HUMAN",0.912950375553434,0.0140575648794921,0.215649576196527,0.666251391010681,FALSE
"6PGD_HUMAN",0.540413839815333,0.0826330417157737,0.440722974319594,0.3558343096894,FALSE
"6PGL_HUMAN",-0.519406245100975,0.136326323283147,0.522040949609848,0.282295429005272,FALSE
"7B2_HUMAN",0.025859935008221,0.958751771687829,0.987696401874066,0.00537652834042078,FALSE
"A1AG1_HUMAN",-0.191196667912675,0.774876369491031,0.952926540616853,0.0209405770472831,FALSE
"A1AG1_HUMAN;A1AG2_HUMAN",-1.55169922947871,0.0340414245331634,0.316085204634203,0.500195832208838,FALSE
"A1AG2_HUMAN",-0.606775224664393,0.344696254497031,0.753346452558663,0.123005252442762,FALSE
"A1AT_HUMAN",-0.515226489670933,0.41404441255126,0.791911113386306,0.101323562264321,FALSE
"A2AP_HUMAN",0.00974257244645482,0.993333686659196,0.996765574417945,0.00140696978051193,FALSE
"A2GL_HUMAN",-2.12249736519435,0.00160179642200588,0.0666468966978901,1.17622006798094,FALSE
