"","logFC","pval","adjPval","negLogAdjPval","significant"
"1433B_HUMAN",0.558296007411151,0.122251768062445,0.367654426971523,0.434560200268254,FALSE
"1433B_HUMAN;1433E_HUMAN;1433F_HUMAN;1433G_HUMAN;1433S_HUMAN;1433T_HUMAN;1433Z_HUMAN",0.143590560253512,0.66447423999952,0.839209755990956,0.0761294760199205,FALSE
"1433B_HUMAN;1433G_HUMAN",-0.634792784143674,0.181839480460534,0.447810575749528,0.348905654090115,FALSE
"1433E_HUMAN",0.100739896783569,0.784757600910204,0.906803236295921,0.0424869385863759,FALSE
"1433F_HUMAN",0.218350281900692,0.694465505060396,0.854877808604174,0.0680959564312593,FALSE
"1433G_HUMAN",-0.095607494885807,0.865876828286507,0.948804288479597,0.0228233610173173,FALSE
"1433T_HUMAN",0.0863181032272755,0.735268216997151,0.87901093267589,0.0560057233661769,FALSE
"1433Z_HUMAN",0.232752761669243,0.54913754809306,0.770278635437237,0.113352147628074,FALSE
"2A5A_HUMAN",-0.0125316521837977,0.976579464884592,0.992157829197593,0.00341923621537354,FALSE
"2A5B_HUMAN",0.207033190631416,0.516481859370767,0.753164025310046,0.123110432126507,FALSE
"2A5B_HUMAN;2A5E_HUMAN",0.261496255128025,0.330196833100379,0.609643674102942,0.214923928245732,FALSE
"2A5D_HUMAN",0.243766170490254,0.289473030039429,0.573552150505166,0.241427087532688,FALSE
"2A5D_HUMAN;2A5G_HUMAN",-0.0783355677243427,0.692694230677124,0.854146326923874,0.0684677223650019,FALSE
"2A5E_HUMAN",-0.347755892729233,0.226093788760421,0.504184392248542,0.297410602660464,FALSE
"2AAA_HUMAN",0.294622899143954,0.40580639391901,0.675694722907739,0.170249472848,FALSE
"2AAA_HUMAN;2AAB_HUMAN",0.120547369734091,0.690703074208105,0.853171836223867,0.0689634893389295,FALSE
"2ABA_HUMAN",0.399143631254277,0.0643044812384821,0.26538550835294,0.576122795918397,FALSE
"2ABA_HUMAN;2ABD_HUMAN",0.138410899560818,0.58145677068442,0.791396843684095,0.101605686156564,FALSE
"2ABG_HUMAN",-0.623055850110016,0.0501629049794308,0.231120939979303,0.636160704864991,FALSE
"3BP1_HUMAN",0.644251238619053,0.134715281849089,0.383279857423071,0.416484003703828,FALSE
"3HIDH_HUMAN",-0.335130426926216,0.145212351438755,0.398396944898846,0.399684000616462,FALSE
"4F2_HUMAN",0.287447264128436,0.413367819382344,0.677923719759538,0.168819170367794,FALSE
"5NT3A_HUMAN",0.677914329091151,0.0846733040412869,0.304935951857538,0.515791369426414,FALSE
"5NTC_HUMAN",0.95477259795532,0.0851451004268971,0.305876045592995,0.514454533064782,FALSE
"5NTD_HUMAN",0.144132839158818,0.596621804809923,0.801722812345745,0.0959757587439818,FALSE
"6PGD_HUMAN",0.159806680063761,0.41182090926979,0.677571915806215,0.169044603065712,FALSE
"6PGL_HUMAN",0.223295157390845,0.38463239893852,0.661243292961952,0.179638720014431,FALSE
"7B2_HUMAN",0.272458510762673,0.285709197780649,0.570416538833752,0.243807890904954,FALSE
"A16A1_HUMAN",1.03056440102638,0.237513622208401,0.519404475688286,0.284494312391832,FALSE
"A1AG1_HUMAN",0.610386437558105,0.18230458971093,0.44819547351857,0.348532533869307,FALSE
"A1AG1_HUMAN;A1AG2_HUMAN",-0.546410984935001,0.327056136912707,0.608288090609964,0.215890686303815,FALSE
"A1AG2_HUMAN",0.25291897105893,0.569300939510968,0.784162066001505,0.105594170611043,FALSE
"A1AT_HUMAN",0.931871253068964,0.0356371843878637,0.194206521095832,0.711736191377616,FALSE
"A1BG_HUMAN",-0.986595659987464,0.0677536332477619,0.273654284935766,0.562797747194822,FALSE
"A2AP_HUMAN",0.940423519393805,0.342490121038164,0.623412201923146,0.205224701616397,FALSE
"A2GL_HUMAN",-0.112871764960254,0.799133675901907,0.913913301094307,0.0390950019053947,FALSE
"A2MG_HUMAN",-0.0409860234490362,0.905407377463723,0.965029062785079,0.01545960726022,FALSE
"A2MG_HUMAN;CONTAMINANT_ENSBTAP00000024146",1.55780929484699,0.173776475788473,0.437158364193027,0.359361207798004,FALSE
"A2MG_HUMAN;CONTAMINANT_ENSBTAP00000024146;PZP_HUMAN",0.737597643028775,0.160943306498964,0.420131656240381,0.376614593842745,FALSE
"A2MG_HUMAN;PZP_HUMAN",-0.0196787676629243,0.969106658967334,0.98888134321389,0.00485581667279992,FALSE
"A4_HUMAN",-0.253256450839907,0.363315576371789,0.64303903232633,0.191762664697157,FALSE
"AACS_HUMAN",-0.500465549836368,0.290142481838901,0.574218348148444,0.240922934493098,FALSE
"AACT_HUMAN",0.176361857398067,0.66754756835676,0.839977029395848,0.0757325902988725,FALSE
"AAK1_HUMAN",-0.761213745022372,0.0584405281286477,0.250936942280209,0.600435398281162,FALSE
"AAKB1_HUMAN",0.110224531973821,0.748294055902548,0.888484406708398,0.0513501898507153,FALSE
"AAKB2_HUMAN",-0.220316572140769,0.478223662237227,0.726508543386441,0.138759274244457,FALSE
"AAKG1_HUMAN",-0.157479829129564,0.372528634344162,0.649787858440825,0.187228407890106,FALSE
"AAKG1_HUMAN;AAKG2_HUMAN",-0.145943322460974,0.390213833289812,0.664083108426295,0.177777566306176,FALSE
"AAKG2_HUMAN",0.00647240398519798,0.979859497499221,0.992857401003399,0.00311312250610534,FALSE
"AAMP_HUMAN",0.29728085210924,0.373770789058242,0.650698926653174,0.186619909646947,FALSE
"AAPK1_HUMAN",0.146464741057922,0.498413144575737,0.740898201257344,0.130241459590593,FALSE
"AAPK1_HUMAN;AAPK2_HUMAN",0.384204818700954,0.153632521694668,0.410126302549716,0.387082377296525,FALSE
"AASD1_HUMAN",0.0429128852840073,0.842604520951828,0.937439874358373,0.0280565775434508,FALSE
"AATC_HUMAN",0.00902079324736385,0.988589698602043,0.995533757596402,0.00194400887688201,FALSE
"AATM_HUMAN",-0.252413379617188,0.635840238170662,0.824884607624435,0.0836068002707034,FALSE
"AB1IP_HUMAN",-0.0103689929198313,0.978343864022177,0.992279753171679,0.00336587005289576,FALSE
"ABCA2_HUMAN",0.4927551015509,0.168762041925311,0.430961836095486,0.365561187164071,FALSE
