S12A2_HUMAN	P55011
CSKI1_HUMAN	Q8WXD9
SRP14_HUMAN	P37108
PSMD4_HUMAN	P55036
SELS_HUMAN	Q9BQE4
GBG2_HUMAN	P59768
GBG3_HUMAN	P63215
CRNS1_HUMAN	A5YM72
PFD4_HUMAN	Q9NQP4
TFR1_HUMAN	P02786
FUMH_HUMAN	P07954
TLN1_HUMAN	Q9Y490
EFHD2_HUMAN	Q96C19
EFHD1_HUMAN	Q9BUP0
EGLN1_HUMAN	Q9GZT9
PCLO_HUMAN	Q9Y6V0
HS71A_HUMAN	P0DMV8
POSTN_HUMAN	Q15063
G45IP_HUMAN	Q8TAE8
STIP1_HUMAN	P31948
ANK3_HUMAN	Q12955
EFNB1_HUMAN	P98172
EF1G_HUMAN	P26641
DREB_HUMAN	Q16643
COPB_HUMAN	P53618
SEP11_HUMAN	Q9NVA2
LIRB5_HUMAN	O75023
I2BP2_HUMAN	Q7Z5L9
RYR2_HUMAN	Q92736
LMNB2_HUMAN	Q03252
CAMKV_HUMAN	Q8NCB2
NDUV2_HUMAN	P19404
IDH3B_HUMAN	O43837
ANAG_HUMAN	P54802
FMNL2_HUMAN;FMNL3_HUMAN	Q96PY5
PAXX_HUMAN	Q9BUH6
NEK7_HUMAN	Q8TDX7
PLSL_HUMAN	P13796
TPM3_HUMAN	P06753
SYT12_HUMAN	Q8IV01
GRHPR_HUMAN	Q9UBQ7
VPS52_HUMAN	Q8N1B4
TTHY_HUMAN	P02766
XPO2_HUMAN	P55060
AUXI_HUMAN	O75061
DUS3_HUMAN	P51452
RN213_HUMAN	Q63HN8
VDAC3_HUMAN	Q9Y277
PCS1N_HUMAN	Q9UHG2
FA5_HUMAN;sp|CONTAMINANT_Q28107	P12259
AT2C1_HUMAN	P98194
TP53B_HUMAN	Q12888
SRPK2_HUMAN	P78362
AP2A1_HUMAN	O95782
RCN1_HUMAN	Q15293
BCAT2_HUMAN	O15382
ADDB_HUMAN	P35612
TOM1_HUMAN	O60784
RFC1_HUMAN	P35251
TPR_HUMAN	P12270
S20A2_HUMAN	Q08357
BASP1_HUMAN	P80723
PRKRA_HUMAN	O75569
MAP1B_HUMAN	P46821
ADK_HUMAN	P55263
SHLB2_HUMAN	Q9NR46
DHX9_HUMAN	Q08211
NCKP1_HUMAN	Q9Y2A7
AAK1_HUMAN	Q2M2I8
CLAP1_HUMAN	Q7Z460
ANK2_HUMAN	Q01484
KPCD_HUMAN	Q05655
VPS18_HUMAN	Q9P253
PROD_HUMAN	O43272
PTH_HUMAN	Q86Y79
PHB_HUMAN	P35232
SPTN2_HUMAN	O15020
WDHD1_HUMAN	O75717
SCLY_HUMAN	Q96I15
IGBP1_HUMAN	P78318
KINH_HUMAN	P33176
TM1L2_HUMAN	Q6ZVM7
GFRA3_HUMAN	O60609
CLH1_HUMAN;CLH2_HUMAN	Q00610
COPB2_HUMAN	P35606
CLIP2_HUMAN	Q9UDT6
KIF1A_HUMAN	Q12756
TIA1_HUMAN	P31483
1433E_HUMAN	P62258
LRSM1_HUMAN	Q6UWE0
MYDGF_HUMAN	Q969H8
CPT1A_HUMAN	P50416
DFFA_HUMAN	O00273
SRRM2_HUMAN	Q9UQ35
SDHA_HUMAN	P31040
LG3BP_HUMAN	Q08380
VPS51_HUMAN	Q9UID3
IGSF3_HUMAN	O75054
ALDH2_HUMAN	P05091
COMD3_HUMAN	Q9UBI1
NCAM1_HUMAN	P13591
CC124_HUMAN	Q96CT7
ALBU_HUMAN	P02768
SPEE_HUMAN	P19623
IQGA2_HUMAN	Q13576
UBXN6_HUMAN	Q9BZV1
CNOT3_HUMAN	O75175
BAG6_HUMAN	P46379
SYFB_HUMAN	Q9NSD9
RIDA_HUMAN	P52758
VATD_HUMAN	Q9Y5K8
PUR2_HUMAN	P22102
SRCN1_HUMAN	Q9C0H9
GNPI1_HUMAN	P46926
FBX41_HUMAN	Q8TF61
AMPL_HUMAN	P28838
RPGP1_HUMAN	P47736
SYTM_HUMAN	Q9BW92
TRIM9_HUMAN	Q9C026
ASPC1_HUMAN	Q9BZE9
PTPRF_HUMAN	P10586
IP3KA_HUMAN	P23677
RLA1_HUMAN	P05386
RUVB2_HUMAN	Q9Y230
IPO4_HUMAN	Q8TEX9
IRGQ_HUMAN	Q8WZA9
MYO1B_HUMAN	O43795
PA2G4_HUMAN	Q9UQ80
IQEC2_HUMAN	Q5JU85
STXB1_HUMAN	P61764
GGT5_HUMAN	P36269
SMU1_HUMAN	Q2TAY7
FUS_HUMAN;RBP56_HUMAN	P35637
RBP56_HUMAN	Q92804
FUS_HUMAN	P35637
EEA1_HUMAN	Q15075
ANM5_HUMAN	O14744
ERC2_HUMAN;RB6I2_HUMAN	O15083
ERC2_HUMAN	O15083
EXOC3_HUMAN	O60645
VP35L_HUMAN	Q7Z3J2
RAB24_HUMAN	Q969Q5
MATN2_HUMAN	O00339
CYTSA_HUMAN	Q69YQ0
YP023_HUMAN	Q8NAQ8
SYCM_HUMAN	Q9HA77
EMAL4_HUMAN	Q9HC35
DPYL3_HUMAN	Q14195
DPYL2_HUMAN	Q16555
PLEC_HUMAN	Q15149
AHNK2_HUMAN	Q8IVF2
SHAN3_HUMAN	Q9BYB0
AP1G1_HUMAN	O43747
SNAA_HUMAN	P54920
SNAB_HUMAN	Q9H115
RHG44_HUMAN	Q17R89
SF3B1_HUMAN	O75533
DHPR_HUMAN	P09417
NEUA_HUMAN	Q8NFW8
KPB2_HUMAN	P46019
KPB1_HUMAN	P46020
GLYM_HUMAN	P34897
SYNEM_HUMAN	O15061
TBL3_HUMAN	Q12788
CELF2_HUMAN	O95319
CELF1_HUMAN	Q92879
RM12_HUMAN	P52815
EPS8_HUMAN	Q12929
HARS1_HUMAN	P12081
ACAP2_HUMAN	Q15057
XRN2_HUMAN	Q9H0D6
APLP1_HUMAN	P51693
HMOX1_HUMAN	P09601
CPLX2_HUMAN	Q6PUV4
U520_HUMAN	O75643
PXL2A_HUMAN	Q9BRX8
UAP1L_HUMAN	Q3KQV9
WASL_HUMAN	O00401
UBE2O_HUMAN	Q9C0C9
SPTN1_HUMAN	Q13813
FHOD1_HUMAN	Q9Y613
SYEP_HUMAN	P07814
VMA21_HUMAN	Q3ZAQ7
RPA1_HUMAN	O95602
ACE_HUMAN	P12821
HUWE1_HUMAN	Q7Z6Z7
PTN23_HUMAN	Q9H3S7
OLFL3_HUMAN	Q9NRN5
FAS_HUMAN	P49327
RS25_HUMAN	P62851
PAK4_HUMAN	O96013
PPP5_HUMAN	P53041
PRKDC_HUMAN	P78527
2A5G_HUMAN	Q13362
LRP1_HUMAN	Q07954
ECHB_HUMAN	P55084
ISCA1_HUMAN	Q9BUE6
LXN_HUMAN	Q9BS40
