,Uniprot,RNA tissue specific nTPM,Tissue expression cluster,entry name,protein_names,tissue_specificity,value
0,O15230,,Cluster 66: Non-specific - Transcription,LAMA5_HUMAN,Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha),"TISSUE SPECIFICITY: Expressed in heart, lung, kidney, skeletal muscle, pancreas, retina and placenta. Little or no expression in brain and liver. Expressed in muscle, ligaments, periosteum, trabecular bone and throughout the cartilage, particularly in the growth plate and in articular chondrocytes (PubMed:33242826). {ECO:0000269|PubMed:33242826}.",0.00051
1,Q06520,liver: 1043.0,Cluster 83: Liver - Metabolism,ST2A1_HUMAN,Sulfotransferase 2A1 (ST2A1) (EC 2.8.2.2) (Bile salt sulfotransferase) (EC 2.8.2.14) (Dehydroepiandrosterone sulfotransferase) (DHEA-ST) (DHEA-ST8) (Hydroxysteroid Sulfotransferase) (HST) (ST2) (SULT2A3),"TISSUE SPECIFICITY: Liver, adrenal and at lower level in the kidney. Is present in human fetus in higher level in the adrenal than the liver and the kidney.",0.00051
2,P12036,brain: 95.6;prostate: 237.7,Cluster 64: Neuronal - Transcription,NFH_HUMAN,Neurofilament heavy polypeptide (NF-H) (200 kDa neurofilament protein) (Neurofilament triplet H protein),,0.0005200000000000001
3,P14770,bone marrow: 5.0;lung: 3.1;lymphoid tissue: 8.7,Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response,GPIX_HUMAN,Platelet glycoprotein IX (GP-IX) (GPIX) (Glycoprotein 9) (CD antigen CD42a),,0.0005300000000000001
4,Q8TDL5,cervix: 546.4;salivary gland: 264.3;stomach 1: 499.1,Cluster 75: Epithelium - Extracellular exosomes,BPIB1_HUMAN,"BPI fold-containing family B member 1 (Long palate, lung and nasal epithelium carcinoma-associated protein 1) (von Ebner minor salivary gland protein) (VEMSGP)","TISSUE SPECIFICITY: Detected in duodenum mucosal crypts of cholera patients, near Paneth cells (at protein level). Detected in trachea, nasal septal epithelium and lung. {ECO:0000269|PubMed:21900486}.",0.0005300000000000001
5,P02760,liver: 10607.0,Cluster 31: Liver - Plasma proteins,AMBP_HUMAN,Protein AMBP (Protein HC) [Cleaved into: Alpha-1-microglobulin (EC 1.6.2.-) (Alpha-1 microglycoprotein) (Complex-forming glycoprotein heterogeneous in charge); Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (EDC1) (HI-30) (Uronic-acid-rich protein); Trypstatin],"TISSUE SPECIFICITY: [Alpha-1-microglobulin]: Expressed by the liver and secreted in plasma. Occurs in many physiological fluids including plasma, urine, and cerebrospinal fluid (PubMed:11877257). Expressed in epidermal keratinocytes, in dermis and epidermal-dermal junction (at protein level) (PubMed:22096585). Expressed in red blood cells (at protein level) (PubMed:32092412). Expressed in placenta (PubMed:21356557). {ECO:0000269|PubMed:11877257, ECO:0000269|PubMed:21356557, ECO:0000269|PubMed:22096585, ECO:0000269|PubMed:32092412}.; TISSUE SPECIFICITY: [Inter-alpha-trypsin inhibitor light chain]: Detected in placenta (at protein level) (PubMed:32337544). Detected in cerebrospinal fluid, plasma and urine (at protein level) (PubMed:25326458, PubMed:36213313, PubMed:37453717). Expressed in airway epithelium and submucosal gland (at protein level). Colocalizes with TNFAIP6 at the ciliary border. Present in bronchoalveolar lavage fluid (at protein level). {ECO:0000269|PubMed:16873769, ECO:0000269|PubMed:25326458, ECO:0000269|PubMed:32337544, ECO:0000269|PubMed:36213313, ECO:0000269|PubMed:37453717}.",0.00058
6,P35558,kidney: 416.9;liver: 664.7,Cluster 1: Liver & Kidney - Metabolism,PCKGC_HUMAN,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] (PEPCK-C) (EC 4.1.1.32) (Serine-protein kinase PCK1) (EC 2.7.11.-)","TISSUE SPECIFICITY: Major sites of expression are liver, kidney and adipocytes. {ECO:0000269|PubMed:8490617}.",0.0005899999999999999
7,O95340,adrenal gland: 131.0,Cluster 11: Liver - Plasma proteins,PAPS2_HUMAN,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2 (PAPS synthase 2) (PAPSS 2) (Sulfurylase kinase 2) (SK 2) (SK2) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)],TISSUE SPECIFICITY: Expressed in cartilage and adrenal gland. {ECO:0000269|PubMed:19474428}.,0.00067
8,P07196,brain: 183.3;retina: 86.8,Cluster 17: Neuronal - Synaptic function,NFL_HUMAN,Neurofilament light polypeptide (NF-L) (68 kDa neurofilament protein) (Neurofilament triplet L protein),,0.0006799999999999998
9,P09228,salivary gland: 5804.2,Cluster 38: Salivary gland - Salivary secretion,CYTT_HUMAN,Cystatin-SA (Cystatin-2) (Cystatin-S5),"TISSUE SPECIFICITY: Expressed in submandibular and sublingual saliva but not in parotid saliva (at protein level). Expressed in submandibular gland and parotid gland. {ECO:0000269|PubMed:11879580, ECO:0000269|PubMed:20189825}.",0.0008500000000000001
