Acc. Nr.	Protein name	Gene name	log2 fold change (t-test difference)	p value	t-test significant
Q14232	Translation initiation factor eIF-2B subunit alpha	EIF2B1	1.04	2.48E − 03	
Q14152	Eukaryotic translation initiation factor 3 subunit A	EIF3A	1.13	5.71E − 03	
P55884	Eukaryotic translation initiation factor 3 subunit B	EIF3B	1.57	3.62E − 03	
O00303	Eukaryotic translation initiation factor 3 subunit F	EIF3F	1.23	9.41E − 03	
O75821	Eukaryotic translation initiation factor 3 subunit G	EIF3G	1.59	4.81E − 02	
Q13347	Eukaryotic translation initiation factor 3 subunit I	EIF3I	2.88	4.29E − 05	*
Q9UBQ5	Eukaryotic translation initiation factor 3 subunit K	EIF3 K	1.85	3.50E − 05	
Q9Y262	Eukaryotic translation initiation factor 3 subunit L	EIF3L	1.57	7.30E − 03	
P23588	Eukaryotic translation initiation factor 4B	EIF4B	1.69	1.44E − 03	
Q15056	Eukaryotic translation initiation factor 4H	EIF4H	1.68	3.92E − 04	
O60841	Eukaryotic translation initiation factor 5B	EIF5B	1.26	2.53E − 02	
Q8N111	Cell cycle exit and neuronal differentiation protein 1	CEND1	2.86	1.98E − 03	
P51674	Neuronal membrane glycoprotein M6-a	GPM6A	5.3	5.24E − 05	*
P62166	Neuronal calcium sensor 1	NCS1	3.55	6.65E − 05	*
Q7Z3B1	Neuronal growth regulator 1	NEGR1	3.71	1.93E − 03	
Q15818	Neuronal pentraxin-1	NPTX1	3.07	4.79E − 03	
Q92823	Neuronal cell adhesion molecule	NRCAM	2.44	3.48E − 03	
Q9UH03	Neuronal-specific septin-3	sep/03	3.4	3.68E − 04	
P17600	Synapsin-1	SYN1	4.68	2.47E − 04	*
Q92777	Synapsin-2	SYN2	5.49	3.17E − 04	*
O14994	Synapsin-3	SYN3	2.46	5.70E − 03	
P30531	Sodium- and chloride-dependent GABA transporter 1	SLC6A1	3.44	8.85E − 06	*
P43003	Excitatory amino acid transporter 1	SLC1A3	3.17	2.51E − 03	
P43004	Excitatory amino acid transporter 2	SLC1A2	4.98	5.16E − 03	
P43007	Neutral amino acid transporter A	SLC1A4	1.81	4.10E − 02	
P48066	Sodium- and chloride-dependent GABA transporter 3	SLC6A11	2.12	4.95E − 04	
Q15043	Zinc transporter ZIP14	SLC39A14	1.28	3.30E − 03	
Q6PML9	Zinc transporter 9	SLC30A9	1.57	1.36E − 02	
Q8N4V1	Membrane magnesium transporter 1	MMGT1	1.19	3.22E − 02	
Q8TBB6	Probable cationic amino acid transporter	SLC7A14	1.78	6.86E − 03	
Q96QE2	Proton myo-inositol cotransporter	SLC2A13	2.68	1.94E − 06	*
